Company,Product,Address,Deadline
Driver for Travel Agency,International Company,"Kathmandu, Nepal","March 10, 2019, 5 p.m."
Project Officer,Ipas Nepal,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Program Coordinator,CWISH,Kathmandu (Occasional field visits),"March 15, 2019, 6 p.m."
"Director, Strategic Evidence and Research",PSI/Nepal,"Kathmandu, Nepal","March 21, 2019, 5 p.m."
Master Trainer,Nepal Fertility Care Center,"Kathmandu, Nepal","March 10, 2019, 11:55 p.m."
Governance and Capacity  Building Coordinator (for woman only),HELVETAS Swiss Intercoopertation Nepal,"Surkhet, Nepal","March 12, 2019, 5 p.m."
Oracle – PL/SQL Developer,COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Full Stack Software Engineer,HLE Nepal,"Jawalakhel, Lalitpur","March 17, 2019, 11:55 p.m."
Back End Software Engineer,HLE Nepal,"Jawalakhel, Lalitpur","March 17, 2019, 11:55 p.m."
Front End Software Engineer,HLE Nepal,"Jawalakhel, Lalitpur, Nepal","March 17, 2019, 11:55 p.m."
Assistant Manager – Accounts & Finance,Hester Biosciences Nepal,"Kathmandu, Nepal","March 14, 2019, 11:59 p.m."
Marketing Attendent,Casino Palace,"Durbarmarg, Kathmandu","March 9, 2019, 11:55 p.m."
Canteen Manager,Xavier International School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Cook & Helper,Xavier International School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Head Cook (School Canteen),KMC School,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
Canteen Staffs,Whitefield Secondary School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Reception/ Customer Service,Swoyambhunath Saving and Credit Cooperative Ltd.,"Swoyambhu, Kathmandu, Nepal","March 10, 2019, 5 p.m."
School Secretary,Kopila Valley School,"Surkhet, Nepal","March 15, 2019, 5 p.m."
Nepali Teacher - Primary Level,Wilson Academy,"Bafal Marg, Kathmandu, Nepal","March 17, 2019, 11:55 p.m."
"ECA Teachers / Trainers: Dance Classical, Dance Modern, Madal, Flute, Gymnastics, Arts and Crafts, Skating",Wilson Academy,"Sitapaila, Kathmandu","March 21, 2019, 11:55 p.m."
Class I - Grade Teacher,Step by Step International School,"Old Baneshwor, Kathmandu","March 12, 2019, 11:55 p.m."
Secondary Level Teachers - Few,Xavier International School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
L. Secondary Level Teachers - Few,Xavier International School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Senior Assistant/ Assistant - Few,Sindhu Bikas Bank,"Lalitpur, Nepal","March 13, 2019, 5 p.m."
Junior Assistant - Few,Sindhu Bikas Bank,"Lalitpur, Nepal","March 13, 2019, 5 p.m."
Civil Structural Engineer,Beni Hydro Power Project,"Solukhumbu, Nepal","April 1, 2019, 5 p.m."
Automobile Engineer or Junior Engineer,Beni Hydro Power Project,"Solukhumbu, Nepal","April 1, 2019, 5 p.m."
Civil Engineer,Beni Hydro Power Project,"Solukhumbu, Nepal","April 1, 2019, 5 p.m."
Surveyor,Beni Hydro Power Project,"Solukhumbu, Nepal","April 1, 2019, 5 p.m."
Junior Engineer,Beni Hydro Power Project,"Solukhumbu, Nepal","April 1, 2019, 5 p.m."
Accountant,Hari Om Tankeshowari Hardware,"Jarankhu, Nepaltar, Kathmandu","March 9, 2019, 11:55 p.m."
Junior Accountant/ Cashier,Kanjirowa National Secondary School,"Kathmandu, Nepal","March 12, 2019, 5 p.m."
एकाउन्टेन्ट,Automobile Samrajya Pvt. Ltd.,"Kathmandu, Nepal","March 9, 2019, 5 p.m."
Branch Manager,Swoyambhunath Saving and Credit Cooperative Ltd.,"Swoyambhu, Kathmandu, Nepal","March 10, 2019, 5 p.m."
Loan Officer,Swoyambhunath Saving and Credit Cooperative Ltd.,"Swoyambhu, Kathmandu, Nepal","March 10, 2019, 5 p.m."
Oracle – PL/SQL Developer,COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Full Stack Software Engineer,HLE Nepal,"Jawalakhel, Lalitpur","March 17, 2019, 11:55 p.m."
Front End Software Engineer,HLE Nepal,"Jawalakhel, Lalitpur, Nepal","March 17, 2019, 11:55 p.m."
Back End Software Engineer,HLE Nepal,"Jawalakhel, Lalitpur","March 17, 2019, 11:55 p.m."
Senior Django Developer,Prixa Technologies,"Satdobato, Lalitpur","March 15, 2019, 11:55 p.m."
Sales & Marketing Executive,Sky Broadband,Kathmandu,"March 15, 2019, 11:55 p.m."
Recovery Manager,Raman General,"Lalitpur Sub-Metropolitan City, Central Development Regio...","March 15, 2019, 11:55 p.m."
Sales Representatives,Softech Foundation ,Nepal,"March 13, 2019, 11:55 p.m."
Sales Representative,Super Quality Meat Processing Industry Pvt. Ltd.,"Kathmandu, Nepal","March 10, 2019, 11:59 p.m."
Regional Sales Manager,Om Chao Biro Feed Industries Pvt. Ltd.,"Kathmandu, Nepal","March 10, 2019, 5 p.m."
वरिष्ठ स्टाफ नर्स,शहीद गंगालाल राष्ट्रिय हृदय केन्द्र,"Kathmandu, Nepal","March 22, 2019, 5 p.m."
वरिष्ठ स्वास्थ्य सहायक,शहीद गंगालाल राष्ट्रिय हृदय केन्द्र,"Kathmandu, Nepal","March 22, 2019, 5 p.m."
वरिष्ठ परफयजन सहायक,शहीद गंगालाल राष्ट्रिय हृदय केन्द्र,"Kathmandu, Nepal","March 22, 2019, 5 p.m."
बरिष्ठ कन्सल्ट्यान्ट कार्डियाक सर्जन,शहीद गंगालाल राष्ट्रिय हृदय केन्द्र,"Kathmandu, Nepal","March 22, 2019, 5 p.m."
Marketing Assistant,Mystic Flights & Expedition,"Kathmandu, Nepal","March 14, 2019, 11:55 p.m."
Content Writer,Himalayan Glacier,"Thamel, Kathmandu","March 15, 2019, midnight"
Blogger,Himalayan Glacier,"Thamel, Kathmandu","March 15, 2019, midnight"
Business Analyst,Delta Tech,Biratnagar,"March 15, 2019, 11:55 p.m."
Digital Marketing Officer,Study Park Education Network,"Kalikasthan-29, Dillibazar","March 10, 2019, 11:55 p.m."
Research Trainee,Tilganga Institute of Opthalmology,"Tilganga Institute of Ophthalmology, Kathmandu","March 16, 2019, 5 p.m."
Data Analyst,Digital Data System for Development (DDSD),Thapathali,"March 17, 2019, 11:59 p.m."
Office Peon,International Company,"Kathmandu, Nepal","March 10, 2019, 5 p.m."
Office Assistant,Maruti Pharma Pvt. Ltd.,"Pulchowk, Lalitpur, Nepal","March 9, 2019, 5 p.m."
Hospital Administrator,Nidan Hospital Ltd.,"Lalitpur, Nepal","March 17, 2019, 5 p.m."
Computer/ Database Operator,Machhapuchchhre School,"Lalitpur, Nepal","March 14, 2019, 5 p.m."
Agriculture Extension Coordinator,HELVETAS Swiss Intercoopertation Nepal,"State Support Unit, Itahari","March 12, 2019, 5 p.m."
Programme Manager,An International Development Organization,"Pokhara, Nepal","March 31, 2019, 5 p.m."
National Programme Officer (Federal State Building),Embassy of Switzerland in Nepal,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Senior Mechanic,Beni Hydro Power Project,"Solukhumbu, Nepal","April 1, 2019, 5 p.m."
Supervisors,Beni Hydro Power Project,"Solukhumbu, Nepal","April 1, 2019, 5 p.m."
वरिष्ठ अाेभरसियर,शहीद गंगालाल राष्ट्रिय हृदय केन्द्र,"Kathmandu, Nepal","March 22, 2019, 5 p.m."
Engineer for Robotics Club,Meridian International School,"Baluwatar, Kathmandu","March 14, 2019, 5 p.m."
Chartered Accountants (Officer/ Senior Officers),NIC Asia Bank,"Inside & Outside Valley Branches, Departments & Province/...","March 20, 2019, 5 p.m."
CA (Intern)/ ACCA,A Kathmandu Based Firm,"Kathmandu, Nepal","March 13, 2019, 5 p.m."
CA/ ACCA Semi-Qualified,A Kathmandu Based Firm,"Kathmandu, Nepal","March 13, 2019, 5 p.m."
MBA Graduate,A Kathmandu Based Firm,"Kathmandu, Nepal","March 13, 2019, 5 p.m."
BBA/ BBS Graduate,A Kathmandu Based Firm,"Kathmandu, Nepal","March 13, 2019, 5 p.m."
Accounts Assistant,HLE Nepal,"Jawalakhel, Lalitpur, Nepal","March 16, 2019, 11:55 p.m."
Senior Vendor Manager – Women’s Fashion Category,daraz.com.np,"Soalteemode, Kathmandu, Central Development Region, Nepal","March 16, 2019, 11:55 p.m."
Receptionist,Kandyy.com,"Kathmandu, Nepal","March 13, 2019, 11:55 p.m."
Area Sales Manager/ Assistant Manager,Chaudhary Group in partnership with JTI,Kathmandu,"March 21, 2019, 11:55 p.m."
Sales Supervisor/ Executive Level,Chaudhary Group in partnership with JTI,Kathmandu/ Kathmandu West or Kathmandu East,"March 21, 2019, 11:55 p.m."
Sr. Web Developer,PIE,"Chabahil, Kathmandu, Central Development Region, Nepal","March 20, 2019, 11:55 p.m."
PHP Developer,Krestronic,Kathmandu,"March 10, 2019, 11:55 p.m."
Web Developer,Diagonal Technologies,Remote - Work From Home,"March 15, 2019, 11:59 p.m."
Software Technical Writer,EBPearls,"Pulchowk, Lalitpur","March 15, 2019, 11:55 p.m."
Technical Support Field Executive,Sky Broadband,Kathmandu,"March 14, 2019, 11:55 p.m."
वरिष्ठ स्वास्थ्य सहायक,शहीद गंगालाल राष्ट्रिय हृदय केन्द्र,"Kathmandu, Nepal","March 22, 2019, 5 p.m."
वरिष्ठ स्टाफ नर्स,शहीद गंगालाल राष्ट्रिय हृदय केन्द्र,"Kathmandu, Nepal","March 22, 2019, 5 p.m."
सिस्टर,शहीद गंगालाल राष्ट्रिय हृदय केन्द्र,"Kathmandu, Nepal","March 22, 2019, 5 p.m."
Consultant Ophthalmologist,Tilganga Institute Ophthalmology,"Kalika, Dolpa","March 16, 2019, 5 p.m."
Marketing and Entrepreneurship Intern,BHADAGADI.COM,"Lalitpur, Nepal","March 12, 2019, 11:55 p.m."
Business Development Intern,BHADAGADI.COM,"Lalitpur, Nepal","March 12, 2019, 11:55 p.m."
Marketing Manager,Chirayu National Hospital,Kathmandu,"March 12, 2019, 11:55 p.m."
Communication Officer,Da Interio & Decors,"Kumaripati, Lalitpur, Nepal","March 14, 2019, 11:59 p.m."
Primary Level Teachers - Few,Xavier International School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Montessori Trained Teachers - Few,Xavier International School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Grade Teachers for Primary Level (Few),Ace Education Ventures,"Kathmandu, Nepal","March 10, 2019, 5 p.m."
Lower Secondary Teachers,Ace Education Ventures,"Kathmandu, Nepal","March 10, 2019, 5 p.m."
ECA /CCA/ Admin Staff,Xavier International School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Livelihoods Officer,WWF Nepal,Nepal,"March 14, 2019, 5 p.m."
Poultry Value Chain Specialist (National Consultant),Food and Agriculture Organization,"Lalitpur, Nepal","March 19, 2019, 5 p.m."
National Sales Manager,Lumbini Vidyut Udyog Pvt. Ltd.,"Kathmandu, Nepal","March 15, 2019, 5 p.m."
Area Sales Manager,Lumbini Vidyut Udyog Pvt. Ltd.,"East, West, Central Nepal","March 15, 2019, 5 p.m."
Associate Sales Officer,Dish Media Network Limited,Inside and Outside Kathmandu Valley,"March 15, 2019, 5 p.m."
Sales Manager/Officers,SAMA Printers Pvt.Ltd,"Lalitpur, Nepal","March 15, 2019, 5 p.m."
Manager- Sales,National Banking Institute,"Kathmandu, Nepal","March 12, 2019, 5 p.m."
Vocational and Sustainability In-charge,Kopila Valley School,"Surkhet, Nepal","March 15, 2019, 5 p.m."
Administrator/ Human Resource Officer,Kopila Valley School,"Surkhet, Nepal","March 15, 2019, 5 p.m."
Chef/ Kitchen Manager,Kopila Valley School,"Surkhet, Nepal","March 15, 2019, 5 p.m."
Academic Co-Ordinator,A reputed coaching institute,"Kathmandu, Nepal","March 12, 2019, 5 p.m."
Office Assistant,Daffodil School,"Kapan, Saraswati Nagar","March 13, 2019, 5 p.m."
Senior Software Engineer - PHP,Grepsr,Kathmandu,"March 13, 2019, 11:55 p.m."
Sr. PHP Laravel Developer,CodeBee Nepal,"107 Dhalku Marg, Bhatbhateni Kathmandu, Nepal 44600","March 13, 2019, 11:55 p.m."
Monitoring & Research Officer,Sunshine Social Development Organization,"Mayadevi Rural Municipality, Kapilvastu","March 12, 2019, 5 p.m."
Child Partner Management and Translation Officer (CPM),Sunshine Social Development Organization,"Mayadevi Rural Municipality, Kapilvastu","March 12, 2019, 5 p.m."
InDesign Artist,Makarios,"Tangal, Kathmandu","March 18, 2019, 11:55 p.m."
Front End Developers,Aakash Tech (InHeadline),"Naxal, Kathmandu","March 10, 2019, 11:55 p.m."
Web Front End Developer,Brevin Creation,New Baneshwor,"March 10, 2019, 11:55 p.m."
IT Support,A Multinational Company,"Kathmandu, Nepal","March 9, 2019, 11:55 p.m."
DOT NET(.NET) Developer,Exotrac,"Bhimshengola, Old Bandeshwor, Kathmandu","March 20, 2019, 11:55 p.m."
Laravel Backend Developer,Shiran Technologies,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Project & Business Development Manager,International Company,"Kathmandu, Nepal","March 10, 2019, 5 p.m."
Area Business Manager,Maruti Pharma Pvt. Ltd.,"Kathmandu, Nepal","March 9, 2019, 5 p.m."
Marketing Officer,Swoyambhunath Saving and Credit Cooperative Ltd.,"Swoyambhu, Kathmandu, Nepal","March 10, 2019, 5 p.m."
Marketing Assistant,Swoyambhunath Saving and Credit Cooperative Ltd.,"Swoyambhu, Kathmandu, Nepal","March 10, 2019, 5 p.m."
Medical Representative,Maruti Pharma Pvt. Ltd.,"Kathmandu, Dharan","March 9, 2019, 5 p.m."
CFO,Nidan Hospital Ltd.,"Pulchowk, Lalitpur, Nepal","March 17, 2019, 5 p.m."
Matron,Nidan Hospital Ltd.,"Pulchowk, Lalitpur, Nepal","March 17, 2019, 5 p.m."
General Surgical Registrar,Nidan Hospital Ltd.,"Pulchowk, Lalitpur, Nepal","March 17, 2019, 5 p.m."
Electrical Engineer,A Reputed Hydropower,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
Draft Person,A Reputed Hydropower,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
Project Manager,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Sales Representative,Asia Trade International Pvt Ltd,kathmandu,"March 13, 2019, 11:55 p.m."
Senior PHP Engineer,UBA Solutions,"Kathmandu, Nepal","March 21, 2019, 11:55 p.m."
Senior Javascript Engineer (Preferred ReactJS),UBA Solutions,"Kathmandu, Nepal","March 21, 2019, 11:55 p.m."
Senior Software Developer in Test,UBA Solutions,"Kathmandu, Nepal","March 21, 2019, 11:55 p.m."
Lead Javascript Engineer (Preferred ReactJS),UBA Solutions,"Kathmandu, Nepal","March 21, 2019, 11:55 p.m."
Secondary Teachers,Ace Education Ventures,"Kathmandu, Nepal","March 10, 2019, 5 p.m."
Language Teachers,Ace Education Ventures,"Kathmandu, Nepal","March 10, 2019, 5 p.m."
Teachers - Few,Gaurisankar English Secondary School,"Lalitpur, Nepal","March 10, 2019, 5 p.m."
Secondary Level Teachers,Kanjirowa National Secondary School,"Kathmandu, Nepal","March 12, 2019, 5 p.m."
Basic Level Teachers (4-8),Kanjirowa National Secondary School,"Kathmandu, Nepal","March 12, 2019, 5 p.m."
Senior Officer-Sales,National Banking Institute,"Kathmandu, Nepal","March 12, 2019, 5 p.m."
WordPress Developer,Web Experts Nepal,Manbhawan,"March 14, 2019, 11:55 p.m."
iOS Developer,eSewa Fonepay,"Kathmandu, Nepal","March 13, 2019, 11:55 p.m."
Senior PHP Engineer,An IT Company,"Kathmandu, Nepal","March 16, 2019, 11:55 p.m."
Senior Javascript Engineer,An IT Company,"Kathmandu, Nepal","March 16, 2019, 11:55 p.m."
Lead JavaScript Engineer,An IT Company,"Kathmandu, Nepal","March 16, 2019, 11:55 p.m."
Academic Coordinator (Primary Level) - Female,Little Angels' School,"Lalitpur, Nepal","March 11, 2019, 5 p.m."
Librarian,Everest English School,"Bhaktapur, Nepal","March 13, 2019, 5 p.m."
Incharge (Senior School Level),KMC School,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
ECA Incharge,KMC School,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
Administration Incharge - School Administration,KMC School,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
Promotors,A Reputed Media Company,"Lalitpur, Nepal","March 15, 2019, 5 p.m."
Associate Brand Officer,Dish Media Network Limited,"Lalitpur, Nepal","March 15, 2019, 5 p.m."
Client Servicing Officer,SAMA Printers Pvt.Ltd,"Lalitpur, Nepal","March 15, 2019, 5 p.m."
Civil Engineer,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Electrical Engineer,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Mechanical Engineer,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Contracts Engineer,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Surveyor,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Internal Medicine (MD),Shankarapur Hospital & Academy,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Anesthesiologist,Shankarapur Hospital & Academy,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Obstetrics & Gynecology,Shankarapur Hospital & Academy,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Pediatrician,Shankarapur Hospital & Academy,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
General Surgeon,Shankarapur Hospital & Academy,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Technical Officer - Health Information Systems,Strengthening Systems for Better Health,Jumla,"March 16, 2019, 11:55 p.m."
Technical Officer - Health Systems Strengthening,Strengthening Systems for Better Health,Jumla,"March 16, 2019, 11:55 p.m."
Maternal Newborn Child Health and Family Planning (MNCH/FP) Specialist,Strengthening Systems for Better Health,Kathmandu,"March 16, 2019, 11:55 p.m."
Communication Executive,Casa Deyra,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Finance cum Admin Executive,Casa Deyra,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Basic Level Teachers (1-3),Kanjirowa National Secondary School,"Kathmandu, Nepal","March 12, 2019, 5 p.m."
"ECA (Sports In-charge, Music Teacher and Dance Teacher)",Kanjirowa National Secondary School,"Kathmandu, Nepal","March 12, 2019, 5 p.m."
School Coordinator (Secondary/Primary/Pre-School/ECA) - Female,A Reputed Secondary School,"Lalitpur, Nepal","March 9, 2019, 5 p.m."
Principal,Nepal Police School Sangh,Kavre,"March 14, 2019, 5 p.m."
Secondary Level Mathematics Teacher,Machhapuchchhre School,"Lalitpur, Nepal","March 14, 2019, 5 p.m."
Assistant Manager - Finance,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Business Analyst,Logicabeans,"Kathmandu, Nepal","March 14, 2019, 11:55 p.m."
IOS Developer,Neptsoft Pvt. Ltd.,Chabahil,"March 14, 2019, 11:55 p.m."
Full Stack Development Engineer,Aqore Software Pvt. Ltd,New Baneshwor,"March 16, 2019, 11:55 p.m."
IT Systems and Network Administrator,Dolphin Dive Technology,"Arun Thapa Chowk-2, Jhamsikhel, Lalitpur","March 14, 2019, 11:59 p.m."
Jr. IT Officer,Raman General,"Kathmandu,","March 15, 2019, 11:55 p.m."
Office Assistant,Whitefield Secondary School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Drivers,Whitefield Secondary School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Academic Coordinator (Primary/Secondary),Kavya School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Assistant Manager - Operations,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
